,acronym,Phrases
87,MDA,MDA-MB-231 GFP expressing cells (MDA)
88,MDA,multidimensional analysis (MDA)
89,MDA,modified diffusion approximation (MDA)
90,RDCs,residual dipolar couplings (RDCs)
91,ZnON,zinc oxynitride (ZnON)
92,OSV,orbital specific virtual (OSV); orbital specific virtuals (OSV); orbital-specific virtual (OSV)
93,MRFs,modulated rotation magnetic fields (MRFs)
94,NLDFT,nonlocal density-functional theory (NLDFT); Non-Localized Density Functional Theory (NLDFT)
95,NLDFT,nonlocal DFT (NLDFT)
96,CWBL,coupled wake boundary layer (CWBL)
97,MN,mutual neutralization (MN); mutual-neutralization (MN)
98,MN,Meyer-Neldel (MN); Meyer–Neldel (MN)
99,MN,meganewton (MN)
100,MN,matrix rank satisfies rk(MN)
101,XRCs,x-ray rocking curves (XRCs)
102,HMPs,hybrid machining processes (HMPs)
103,NTH,nonlocal transport hydrodynamic model (NTH)
104,HCR,hollow cathode region (HCR)
105,TDFF,Third-Derivative Functional Form (TDFF); third derivative functional form (TDFF)
106,BY-PT,BiYbO {3}–PT (BY-PT)
107,LCSF,Long chain saturated factor (LCSF); long chain saturated factor (LCSF)
108,LACCE,lauric acid/carboxymethyl cellulose ester (LACCE); Lauric acid/carboxymethyl cellulose ester (LACCE)
109,SolCoSi,Solar Collector Simulator (SolCoSi)
110,Johnson,Johnson and Christy (Johnson)
111,LI-CVD,liquid injection chemical vapour deposition (LI-CVD)
112,Td,tetrahedrally (Td)
113,Td,tetrahedrally coordinated (Td)
114,Td,Townsend (Td)
115,Td,tetrahedral sites (Td)
116,DOE,design-of-experiment (DOE); design of experiments (DOE); design of experiment (DOE)
117,DOE,Department of Energy (DOE)
118,DOE,diffractive optical element (DOE)
119,ITB,Internal Transport Barrier (ITB); internal transport barrier (ITB)
120,ITB,incoherent TB (ITB)
121,TPEWs,topologically protected edge waves (TPEWs)
122,HEX,High Energy X-ray (HEX)
123,HEX,heat exchange (HEX)
124,HEX,hexagonal (HEX)
125,TRS,Triple Root Structures (TRS); Triple Root Structure (TRS)
126,TRS,time-resolved spectroscopy (TRS); time resolved spectroscopy (TRS)
127,TRS,time-reversal symmetry (TRS); Time reversal symmetry (TRS)
128,TRS,transverse reflected shock (TRS)
129,TRS,to reflection from the shock tube walls moving in the transverse direction (TRS)
130,TRS,transverse rupture strength (TRS)
131,IGBT,insulated gate bipolar transistor (IGBT); insulated-gate bipolar transistor (IGBT); Insulated Gate Bipolar Transistor (IGBT)
132,ABL,atmospheric boundary-layer (ABL); atmospheric boundary layer (ABL)
133,ABL,airborne laser (ABL)
134,ECRH,Electron cyclotron resonance heating (ECRH); electron cyclotron resonance heating (ECRH); electron cyclotron radiofrequency heating (ECRH); electron cyclotron resonant heating (ECRH)
135,ECRH,Electron Cyclotron Resonance Heating (ECRH); electron-cyclotron-resonance-heating (ECRH); Electron Cyclotron Resonant Heating (ECRH); Electron cyclotron resonant heating (ECRH)
136,NEOS,Neutrino Oscillation at Short-baseline (NEOS)
137,I–V,investigated by analysis of current–voltage (I–V)
138,I–V,in section 4 to simulate the current–voltage (I–V)
139,I–V,Its current–voltage (I–V); in transport current–voltage (I–V); initial current–voltage (I–V); in the current–voltage (I–V)
140,I–V,In the present study we have observed the current–voltage (I–V)
141,I–V,investigated the current–voltage (I–V)
142,I–V,investigated the conductivity of Fe {3}O {4} by studying the current–voltage (I–V)
143,I–V,is simulated that the multiple-branched current–voltage (I–V)
144,BPLCs,Blue phase liquid crystals (BPLCs); blue phase liquid crystals (BPLCs)
145,YC,Yukawa–Coulomb (YC)
146,POCs,periodic orbit channels (POCs)
147,HDI,head disk interface (HDI); head–disk interface (HDI); head-disk interface (HDI)
148,HDI,High-density interconnect (HDI)
149,HDI,heterodyne DI (HDI)
150,HDI,heterodyne dispersion interferometer (HDI)
151,PHEVs,Plug-in Hybrid Electric Vehicles (PHEVs); plug-in hybrid electric vehicles(PHEVs); plug in hybrid electric vehicles (PHEVs)
152,GSE,geocentric solar ecliptic (GSE); Geocentric Solar Ecliptic (GSE)
153,GSE,generalized spectroscopic ellipsometry (GSE)
154,GSE,Gaussian symplectic ensemble (GSE)
155,CDL,cell-depleted layer (CDL)
156,MagLev,magnetic levitation (MagLev)
157,TRAM,total-reflection-active-mirror (TRAM)
158,MgO-cap,MgO capping layer (MgO-cap)
159,AVH,acoustic valley Hall (AVH)
160,SAW-EV,self-avoiding walk in the EV limit (SAW-EV)
161,DIPs,double ionization potentials (DIPs)
162,MPRE,Multifractional Process with Random Exponent (MPRE); Multifractional Processes with Random Exponent (MPRE)
163,HRGW,high-resolution generated wavefront (HRGW)
164,OFFSL,optical-feedback frequency-stabilized laser (OFFSL)
165,SSPL,steady-state PL (SSPL)
166,TD-OCT,time-domain OCT (TD-OCT)
167,QD-sc-NEVPT2,quasi-degenerate strongly contracted NEVPT2 (QD-sc-NEVPT2)
168,TDNPMs,triply degenerate nodal point semimetals/metals (TDNPMs)
169,JPCRD,Journal of Physical and Chemical Reference Data (JPCRD)
170,O-t,oxygen-terminated (O-t)
171,PSBT,parametric symmetry breaking transducer (PSBT)
172,DWMR,domain wall magnetoresistance (DWMR)
173,DRMSD,distance root-mean-square deviation (DRMSD)
174,DLL,dynamic link library (DLL)
175,COG,centre of gravity (COG); centre of geometry (COG)
176,PSMP,pillar-assisted self-assembly microparticles (PSMP)
177,IHP,inner Helmholtz plane (IHP)
178,IHP,Innovations for High Performance Microelectronics (IHP)
179,GCMEs,generalized coupled-mode equations (GCMEs)
180,MFMMS,magnetic field modulated microwave spectroscopy (MFMMS); Magnetic field modulated microwave spectroscopy (MFMMS)
181,SPCC,Single-Photon Coincidence Counting (SPCC)
182,PAAm,polyacrylamide (PAAm); Polyacrylamide (PAAm)
183,TESs,Transition Edge Sensors (TESs); transition edge sensors (TESs); transition-edge sensors (TESs)
184,PQIs,power quality indices (PQIs)
185,ECDL,external cavity diode laser (ECDL); extended-cavity diode lasers (ECDL); extended cavity diode laser (ECDL); external-cavity diode laser (ECDL)
186,A-O-B,along with the bond angles Co-O-Cr/Mn (A-O-B)
187,PBWGs,planar Bragg waveguides (PBWGs)
188,ShF,Shearing Filters (ShF)
189,BCTO,Bi {2∕3}Cu {3}Ti {4}O {12} (BCTO)
190,HUVECs,human vascular endothelial cells (HUVECs); human vein endothelial cells (HUVECs)
191,HUVECs,human umbilical vein endothelial cells (HUVECs); Human Umbilical Vein Endothelial Cells (HUVECs)
192,HIA,Hot Ion Analyzer (HIA)
193,HDs,histograms of distances (HDs)
194,HDs,hard disks (HDs)
195,HDs,heterodimers (HDs)
196,HDs,harmonic distortions (HDs)
197,HDs,hidden drifts (HDs)
198,UBHC,unburnet hydrocarbon (UBHC)
199,LIV,Light-current-voltage (LIV); light-current-voltage (LIV)
200,FEOL,front end of the line (FEOL); front-end-of-line (FEOL); front-end-of-the-line (FEOL)
201,SiNWAs,Si nanowire arrays (SiNWAs)
202,PSCA,polarizer-sample-compensator-analyzer (PSCA)
203,BWH,Brigham and Women's Hospital (BWH)
204,AgSiNW,Ag NPs decorated Si NW (AgSiNW)
205,AgSiNW,Ag NPs on the walls of Si NWs (AgSiNW)
206,EMD,easy magnetization direction (EMD); Easy magnetization direction (EMD); Easy Magnetization Direction (EMD)
207,EMD,empirical mode (EMD)
208,EMD,equilibrium MD (EMD); Equilibrium MD (EMD)
209,EMD,empirical mode decomposition (EMD); Empirical Mode Decomposition (EMD); Empirical mode decomposition (EMD)
210,EMD,equilibrium molecular dynamics (EMD); Equilibrium Molecular Dynamics (EMD)
211,EMD,earth mover's distance (EMD)
212,EMD,edge melt distribution (EMD)
213,EMD,Ehrenfest molecular dynamics (EMD)
214,EMD,equilibrium MD simulation (EMD)
215,GSRs,growth sector regions (GSRs); growth section regions (GSRs)
216,Rh-B,Rhodamine-B (Rh-B)
217,ZLG,zero-layer graphene (ZLG)
218,HER,high-energy reservoir (HER)
219,HER,hydrogen evolution reaction (HER); H {2} evolution reaction (HER)
220,APMPT,atmospheric-pressure microwave plasma torch (APMPT)
221,VUV-SE,vacuum-ultraviolet spectroscopic ellipsometry (VUV-SE)
222,E-CRR,electron-assisted ternary recombination (E-CRR)
223,E-CRR,electron-assisted collisional radiative recombination (E-CRR)
224,TCZ,terbium containing cubic zirconia (TCZ)
225,LSRTM,least-squares reverse-time migration (LSRTM)
226,MILO,magnetically insulated transmission line oscillator (MILO)
227,ABA,are stacked with the Bernal (ABA)
228,SUT,surface under test (SUT); sample under test (SUT); sample-under-test (SUT)
229,SS-THz-TDS,single-shot THz-TDS (SS-THz-TDS)
230,LAB,laboratory (LAB)
231,TPA,two-photon absorbing (TPA); two-photon-absorbed (TPA); two-photon absorption (TPA)
232,TPA,traditional phase average (TPA)
233,TPA,triphenylamine (TPA)
234,TPA,triplet-polaron annihilation (TPA)
235,TPA,Two Photon Absorption (TPA); two-photon-absorption (TPA); Two-photon absorption (TPA); two photon absorption (TPA)
236,TPA,triple-period-A (TPA)
237,M-DTFT,modified DTFT (M-DTFT)
238,JTF,Johnson–Tang–Forest (JTF)
239,EFAs,electrostatic fluid accelerators (EFAs)
240,VRBE,vacuum referred binding energy (VRBE); vacuum-referenced binding energy (VRBE)
241,SSTP,Sequential Short-Time Propagation (SSTP)
242,TCT,thermal coherence tomography (TCT)
243,TCT,Transient Current Technique (TCT); transient-current technique (TCT)
244,TCT,total-cross-tied (TCT); Total Cross Tied (TCT); total cross tied (TCT)
245,FTR,financial transmission right (FTR)
246,MCM,multi-chip module (MCM); multichip module (MCM); multichip modules (MCM)
247,MCM,motion control module (MCM)
248,MCM,multiple-commutator method (MCM)
249,MCM,matrix is composed of magnetocaloric material (MCM)
250,MCM,mercury-containing molecule (MCM)
251,MCM,multi-constant-model (MCM)
252,MCM,Monte Carlo Method (MCM)
253,EEY,Electron Emission Yield (EEY); Electron emission Yield (EEY)
254,LCST,lower critical solution temperature (LCST)
255,MLZ,Maier-Leibnitz Zentrum (MLZ)
256,REBO,Reactive Empirical Bond Order (REBO); reactive empirical bond-order (REBO)
257,DNs,dislocation networks (DNs)
258,DEMS,diethoxymethylsilane (DEMS)
259,DEMS,differential electrochemical mass spectrometry (DEMS)
260,CoO,cobalt oxide (CoO)
261,MAR,molecular assisted recombination (MAR)
262,MAR,median AR (MAR)
263,BPC-TCT,binary phase coding thermal coherence tomography (BPC-TCT); Binary phase coding thermal coherence tomography (BPC-TCT)
264,La-APT,Laser-assisted Atom Probe Tomography (La-APT)
265,LVPD,Large Volume Plasma Device (LVPD)
266,LVAD,left ventricular assist devices (LVAD)
267,DLR,Deutsche Forschungsanstalt fur Luft und Raumfahrt (DLR)
268,DLR,Dobrushin–Lanford–Ruelle (DLR)
269,DLR,diagonal local renormalization (DLR)
270,TRM,thermoremanent magnetization (TRM)
271,TRM,thru-reflect-match (TRM)
272,TRM,thermoremanent moment (TRM)
273,TRM,This response is known as the thermoremnant magnetization (TRM)
274,TRM,time reversal mirror (TRM)
275,TRM,thermoremanence (TRM)
276,BPNNs,Behler-Parrinello neural networks (BPNNs)
277,BPNNs,backpropagation NNs (BPNNs)
278,IGZO,indium–gallium–zinc-oxide (IGZO); Indium-Gallium-Zinc-Oxide (IGZO); indium gallium zinc oxide (IGZO); indium-gallium-zinc-oxide (IGZO)
279,IGZO,InGaZnO (IGZO); InGaZnO {x} (IGZO); In-Ga-Zn-O (IGZO)
280,IGZO,In-Ga-Zn-O system (IGZO)
281,ICSs,integrated cross sections (ICSs); Integral cross sections (ICSs); integral cross sections (ICSs)
282,CCTO,CaCu {3}Ti {4}O {12} (CCTO)
283,PHOLED,phosphorescent OLED (PHOLED)
284,SST,Shear-Stress-Transport (SST); Shear Stress Transport (SST); shear stress transport k–ω (SST); shear stress transport (SST)
285,SST,slip-stick transition (SST); slip-to-slick transition (SST)
286,SST,Strong Stretching Theory (SST)
287,SST,Supporting subspace technique (SST); supporting subspace technique (SST)
288,SST,sea surface temperature (SST); Sea Surface Temperature (SST)
289,SST,single-sheet tester (SST); single sheet tester (SST)
290,SST,solenoid service tower (SST)
291,SST,synchrosqueezing transform (SST)
292,SST,Swedish Solar Telescope (SST)
293,SST,single-stranded tile (SST)
294,SST,stainless steel (SST)
295,DaW,dust-acoustic wave (DaW)
296,TMDs,Transition metal dichalcogenides (TMDs); transitional metal dichalcogenides (TMDs); transition metal dichalcogenides (TMDs); transition-metal dichalcogenides (TMDs)
297,TMDs,the same family—transitional metal dichalcogenides (TMDs)
298,TMDs,theoretical mean densities (TMDs)
299,BEOL,backend of the line (BEOL); back-end-of-the-line (BEOL); back end of the line (BEOL)
300,BEOL,back end of line (BEOL); back-end-of-line (BEOL); Back End Of Line (BEOL); Back End of Line (BEOL); back-end of line (BEOL)
301,TRLDOS,time-resolved local density of states (TRLDOS)
302,A–O,a small number of ion–oxygen (A–O)
303,MRF,moving reference frame (MRF)
304,MRF,mechanical resonance frequency (MRF)
305,MRF,Micro-Research Finland (MRF)
306,MRF,modulated rotation magnetic field (MRF)
307,MRF,Markov Random Field (MRF)
308,TSSs,topological surface states (TSSs)
309,RRS,Raman spectroscopy (RRS)
310,RRS,Resonant Raman scattering (RRS)
311,SyAF,synthetic antiferromagnet (SyAF)
312,MIR-FEL,mid-infrared FEL (MIR-FEL)
313,RFA,retarding field analyzer (RFA); retarding field analyser (RFA)
314,RFA,request for application (RFA)
315,AO-HDS,all-optical helicity-dependent magnetic switching (AO-HDS)
316,FVCI,full vibrational configuration interaction (FVCI)
317,GHK,Goldman-Hodgkin-Katz (GHK)
318,PFH,proton firehose instability (PFH)
319,TREM,temperature replica exchange method (TREM)
320,SDREs,spin-dependent-resistor elements (SDREs)
321,MQBs,multiple quantum barriers (MQBs)
322,VQEs,variational quantum eigensolvers (VQEs)
323,FD,Fermi-Dirac (FD)
324,FD,feeddown (FD)
325,FD,fractal dimension (FD); fractional-dimensional (FD)
326,FD,fast diffracted shock (FD)
327,FD,free decay (FD)
328,FD,free-draining (FD); freely draining (FD)
329,FD,fibrillatory domain (FD)
330,FD,fluctuation diamagnetism (FD)
331,FD,fluid divider (FD)
332,FD,finite-difference (FD); finite differences (FD); finite difference (FD)
333,FD,fully depleted (FD)
334,FD,force-distance (FD); Force-Distance (FD)
335,FD,forward diffraction (FD); Forward Diffraction (FD)
336,FD,Fused Dataset (FD)
337,FD,fictitious domain (FD)
338,Q-disk,quantum disk (Q-disk)
339,BFS,basis function sampling (BFS); Basis Function Sampling (BFS)
340,BFS,backward-facing step (BFS)
341,DREPs,dislocation-related etch pits (DREPs)
342,PH,phosphorescence (PH)
343,PH,pinhole (PH); pin-hole (PH)
344,PH,phosphorus-hydrogen (PH); phosphorous-hydrogen (PH)
345,PH,peak heights (PH)
346,PH,pinhole aperture (PH)
347,PH,pseudo-Hermitian (PH); pseudo-Hermiticity (PH)
348,PH,pulse height (PH)
349,Tw-Py,twisted-pyramidalized (Tw-Py)
350,RBRS,rational billiard Riemann surface (RBRS)
351,QPPs,quasi-periodic pulsations (QPPs)
352,WestGrid,Western Canada Research Grid (WestGrid)
353,FRTS,Faddeev-Reshetikhin-Takhtajan and Sklyanin’s (FRTS)
354,INDO/S,intermediate neglect of differential overlap/spectroscopy (INDO/S)
355,SXRFC,soft-x-ray framing camera (SXRFC)
356,TCEs,transparent conductive electrodes (TCEs)
357,IRE,internal reflection element (IRE)
358,IRE,Institute of Radio Engineers (IRE)
359,IRE,irreversible electroporation (IRE)
360,A-MOCVD,advanced MOCVD (A-MOCVD)
361,CDLBIEM,completed double layer boundary integral equation method (CDLBIEM)
362,VPSC,viscoplastic self-consistent theory (VPSC)
363,WAT,water (WAT)
364,EIO,extended interaction oscillator (EIO)
365,CSHFF,Calcium Silicate Hydrates Force-Field (CSHFF)
366,NpolM,non-polarizable MARTINI (NpolM)
367,NpolM,non-polarizable water model (NpolM)
368,RFPA,radio frequency power amplifier (RFPA)
369,OIMD,optically isolated mmw detector (OIMD)
370,PMPS,purified matrix product state (PMPS)
371,DLDs,deep level defects (DLDs)
372,DLDs,donorlike defects (DLDs)
373,WPW,Wolff–Parkinson–White (WPW)
374,C/S,client/server (C/S)
375,CLNA,cryogenic low noise amplifier (CLNA)
376,UEWEs,underwater electrical wire explosions (UEWEs)
377,DMM,diffuse mismatch model (DMM); diffuse mismatch models (DMM); diffusive mismatch model (DMM)
378,DMM,digital multi-meter (DMM); digital multimeter (DMM)
379,DMM,dynamic matrix method (DMM); dynamical matrix method (DMM)
380,DMM,dislocation monopole model (DMM)
381,DMM,dynamic mixed model (DMM)
382,MP/SOFT,matching-pursuit/split-operator Fourier transform (MP/SOFT)
383,CLHR,connection line hydraulic resistance (CLHR)
384,CLHR,connecting the lateral chamber to the syringe (CLHR)
385,HTBS,high throughput bio-screening (HTBS)
386,ERA,Electronic Radiative Ablation (ERA)
387,ERA,eigensystem realization algorithm (ERA)
388,VMID,Vlasov-Maxwell integro-differential (VMID)
389,BBM,Benjamin-Bona-Mahony (BBM)
390,PVDF,polyvinylidene difluoride (PVDF); Polyvinylidene fluoride (PVDF); polyvinylidene flouride (PVDF); Polyvinylidene Fluoride (PVDF); Polyvinylidene difluoride (PVDF); polyvinylidene fluoride (PVDF); polyvinylidenefluoride (PVDF)
391,VIEM,volume integral equation method (VIEM)
392,DRP,dispersion relation preservation (DRP); dispersion relation preserving (DRP)
393,DRP,dense-random-packing (DRP)
394,NHRR,Net Heat Release Rate (NHRR)
395,IDMT,Improved Derjaguin–Muller–Toporov (IDMT)
396,HPSI,High purity semi-insulating (HPSI); high-purity semi-insulating (HPSI); High-purity semi-insulating (HPSI)
397,HPSI,high-purity SI-SiC (HPSI)
398,SF-SAPT,spin-flip SAPT (SF-SAPT)
399,CSTICs,Concentrated solar thermionic converters (CSTICs)
400,NCCN,non-dipolar key molecules such as cyanogen (NCCN)
401,MIET-GUI,Metal-Induced Energy Transfer Graphical User Interface (MIET-GUI)
402,SSM,solid-state mixture (SSM)
403,SSM,single-sideband modulator (SSM)
404,SSM,scanning SQUID microscope (SSM)
405,SSM,side surface morphology patterns (SSM)
406,SSM,sequential standard model (SSM)
407,SSM,simple Moments Model (SSM)
408,PAE,power-added efficiency (PAE)
409,LSFs,line spread functions (LSFs)
410,TIDFT,Time-independent DFT (TIDFT)
411,TIDFT,time independent density functional theory (TIDFT)
412,EIU,Economist Intelligence Unit (EIU)
413,DBD,dangling-bond density (DBD); dangling bond density (DBD)
414,DBD,Dielectric barrier discharge (DBD); dielectric-barrier discharge (DBD); dielectric barrier discharge (DBD); Dielectric Barrier Discharge (DBD); dielectric-barrier discharges (DBD); dielectric barrier discharges (DBD); dielectric barrier discharge head (DBD); dielectric-barrier-discharge (DBD)
415,DBD,"dielectric barrier discharge plasma
Dielectric barrier discharge (DBD)"
416,DBD,density of SD are higher than those of VD in plane-parallel VBD (DBD)
417,CBAs,competing basins of attraction (CBAs)
418,IP-RPA,independent-particle random-phase approximation (IP-RPA)
419,DSR,down scattered neutron ratio (DSR); down scattered ratio (DSR)
420,DSR,Down Scattered Ratio (DSR); Down-scattered ratio (DSR); down-scatter ratio (DSR); down-scattered ratio (DSR)
421,DSR,dual series relations (DSR)
422,DSR,Dynamic Source Routing (DSR)
423,DSR,differential spectral response (DSR)
424,DXS,diffuse x-ray scattering (DXS)
425,H-L-H,high-low-high (H-L-H)
426,CCFE-JET,Culham Centre for Fusion Energy-Joint European Torus (CCFE-JET)
427,SMRT,single-mode relaxation time approximation (SMRT)
428,SURFS,super-resolution force spectroscopy (SURFS)
429,RIV,relative impedance variation (RIV)
430,LNO,LaNiO3 (LNO); LiNbO {3} (LNO); LaNiO {3} (LNO)
431,LNO,local natural orbital (LNO)
432,LNO,LNO layers in the (LNO)
433,MPs,microparticles (MPs); macroparticles (MPs)
434,MPs,metallic precursors (MPs)
435,MPs,Magnetic particles (MPs)
436,MPs,magnetic polarons (MPs)
437,MPs,microprobes (MPs); microspheres (MPs)
438,MPs,magnetic perturbations (MPs)
439,LINAC,Linear accelerator (LINAC); linear accelerator (LINAC)
440,TOR-TILD,two-optimized references thermodynamic integration using Langevin dynamics (TOR-TILD)
441,HTDSR,hypothetical temperature dependent saturation rate (HTDSR)
442,PEDOT,polyethylenedioxythiophene (PEDOT)
443,NPC,net present cost (NPC); Net Present Cost (NPC)
444,NPC,negative photoconductivity (NPC)
445,DIRAD,diradical (DIRAD)
446,RCDR,radial correlation Doppler reflectometry (RCDR)
447,SIMR,Successive Interpolation of Multistate Reweighting (SIMR)
448,I–M,insulator–metal (I–M)
449,REMPI,Resonant Enhanced Multiphoton Ionisation (REMPI); Resonance Enhanced Multiphoton Ionisation (REMPI); resonant-enhanced multiphoton ionization (REMPI); resonance-enhanced multi-photon ionization (REMPI); resonance enhanced multiphoton ionization (REMPI); Resonance Enhanced Multi-Photon Ionization (REMPI); resonance enhanced multiphoton excitation (REMPI); resonant enhanced multiphoton ionization (REMPI); resonance-enhanced multiphoton ionization technique (REMPI); resonance-enhanced-multiphoton-ionization (REMPI); resonance-enhanced multiphoton ionization (REMPI)
450,LITB,Laser-driven Ion-beam Trace Probe (LITB)
451,NAB,Nucleic Acid Builder (NAB)
452,R-s,roughness (R-s)
453,R-s,ribs (R-s)
454,QLs,quintuple layers (QLs)
455,BBO,beamlike type II β-barium borate (BBO)
456,BBO,by sum frequency mixing in two consecutive β-BaB {2}O {4} (BBO)
457,BBO,BaBiO {3} (BBO)
458,BBO,beam was frequency tripled and quadrupled using β-barium borate (BBO)
459,BBO,beta-BaB {2}O {4} (BBO); BaB {2}O {4} (BBO)
460,BBO,by β-barium borate (BBO); barium borate (BBO); beta-barium borate (BBO); beta-Barium Borate (BBO)
461,BBO,Basset-Boussinesq-Ossen (BBO); Basset-Boussinesq-Oseen (BBO); Basset–Boussinesq–Oseen (BBO)
462,BBO,beam are based on the β-barium borate (BBO)
463,BBO,broad-band observe (BBO)
464,BBO,by a 100 μm thick β-barium borate (BBO)
465,BBO,broadband “β-barium borate (BBO)
466,BBO,BaB {2}O {4} crystal (BBO)
467,BBO,Brewster-cut β-BaB {2}O {4} (BBO)
468,PCG,preconditioned conjugate gradient (PCG)
469,PCG,pressure conjugated gradient (PCG)
470,ELI,extreme light infrastructure (ELI); Extreme Light Infrastructure (ELI)
471,LM,Lehmann's model (LM)
472,LM,longitudinal mode (LM)
473,LM,Likhtman-McLeish (LM)
474,LM,Lauritsen-Millikan (LM)
475,LM,LIQUID METAL (LM)
476,LM,Large-to-Meso (LM); large-to-meso (LM)
477,LM,Levenberg-Marquardt (LM)
478,LM,light transmission microscopy (LM); Light transmission microscopy (LM)
479,LM,lattice-matched (LM)
480,LM,Lumley map (LM)
481,LM,Lee-More model (LM)
482,LM,liquid metal (LM)
483,LM,lifting mode (LM)
484,ELW,electron Langmuir wave (ELW)
485,ELW,elastic wave (ELW)
